               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 143,            0.022231,            0.011426,                   0,             0.88178,             0.89964,             0.90513,             0.67797,            0.020957,           0.0051977,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.022173,            0.011457,                   0,              0.8804,             0.90364,             0.90524,             0.67729,            0.020965,           0.0051955,                   0,            0.005281,            0.005281,            0.005281
                 145,               0.022,            0.011442,                   0,             0.88843,             0.89614,             0.90548,             0.67877,            0.020937,           0.0052049,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.022305,            0.011541,                   0,             0.88879,             0.89825,              0.9061,             0.67898,            0.020904,           0.0052109,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.022031,            0.011219,                   0,             0.88651,             0.90006,             0.90678,             0.67908,            0.020895,           0.0052061,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.021901,            0.011361,                   0,             0.88946,             0.90027,             0.90633,             0.67935,            0.020863,           0.0052008,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.021893,            0.011446,                   0,             0.88634,             0.89861,             0.90661,             0.67983,            0.020845,           0.0052071,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.021843,            0.011165,                   0,             0.88795,              0.8996,             0.90644,             0.68034,            0.020835,           0.0052113,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.022016,            0.011554,                   0,             0.88801,             0.90094,             0.90594,             0.67939,            0.020786,           0.0052107,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.021683,            0.011261,                   0,               0.891,             0.89786,             0.90495,             0.67994,            0.020736,           0.0052098,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.021639,            0.011282,                   0,             0.89102,             0.89825,             0.90543,             0.67856,            0.020726,           0.0052116,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.021767,            0.011095,                   0,             0.89011,             0.89892,             0.90442,             0.67926,            0.020698,           0.0052141,                   0,            0.004951,            0.004951,            0.004951
                 155,             0.02138,            0.010978,                   0,             0.89197,             0.89576,             0.90424,             0.67918,            0.020685,           0.0052146,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.021251,             0.01116,                   0,             0.89323,             0.89633,             0.90405,             0.67949,            0.020682,           0.0052113,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.022013,            0.011177,                   0,             0.89396,             0.89755,             0.90392,              0.6793,             0.02068,            0.005211,                   0,            0.004852,            0.004852,            0.004852
